EmployeeNo,Division,Qualification,Gender,Channel_of_Recruitment,Trainings_Attended,Year_of_birth,Last_performance_score,Year_of_recruitment,Targets_met,Previous_Award,Training_score_average,State_Of_Origin,Foreign_schooled,Marital_Status,Past_Disciplinary_Action,Previous_IntraDepartmental_Movement,No_of_previous_employers,Promoted_or_Not
YAK/S/02700,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1986,10,2012,1,0,42,ANAMBRA,Yes,Not_Sure,No,No,0,0
YAK/S/02703,Research and Innovation,First Degree or HND,Male,Direct Internal process,3,1995,12.5,2016,0,0,78,KANO,Yes,Married,No,No,1,0
YAK/S/02704,Research and Innovation,MSc  MBA and PhD,Male,Agency and others,2,1975,12.5,2017,1,0,81,OYO,Yes,Married,No,No,0,0
YAK/S/02705,Sourcing and Purchasing,First Degree or HND,Female,Direct Internal process,3,1993,7.5,2015,0,0,63,PLATEAU,Yes,Single,No,Yes,1,0
YAK/S/02706,Commercial Sales and Marketing,First Degree or HND,Male,Referral and Special candidates,2,1988,10,2012,0,0,38,BENUE,Yes,Married,No,No,1,0
YAK/S/02707,Information Technology and Solution Support,First Degree or HND,Female,Direct Internal process,2,1994,10,2017,1,0,68,FCT,Yes,Single,No,No,0,0
YAK/S/02708,Commercial Sales and Marketing,,Male,Agency and others,2,1996,7.5,2016,1,0,40,RIVERS,Yes,Married,No,No,0,1
YAK/S/02709,Business Finance Operations,First Degree or HND,Female,Agency and others,2,1989,7.5,2012,0,0,48,YOBE,Yes,Married,No,No,1,0
YAK/S/02710,Information and Strategy,First Degree or HND,Male,Agency and others,2,1994,0,2018,0,0,80,ZAMFARA,Yes,Married,No,No,0,0
YAK/S/02711,Sourcing and Purchasing,First Degree or HND,Female,Direct Internal process,2,1992,10,2016,1,0,63,KADUNA,Yes,Single,No,Yes,0,0
YAK/S/02712,Customer Support and Field Operations,MSc  MBA and PhD,Male,Direct Internal process,2,1987,7.5,2014,0,0,47,LAGOS,Yes,Married,No,No,1,0
YAK/S/02713,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,3,1992,7.5,2012,0,0,38,LAGOS,Yes,Married,No,No,3,0
YAK/S/02714,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1988,12.5,2011,1,0,43,EDO,Yes,Married,No,No,1,0
YAK/S/02715,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1994,12.5,2018,1,0,40,OGUN,Yes,Married,No,No,4,0
YAK/S/02716,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1992,7.5,2017,0,0,73,IMO,No,Single,No,No,0,0
YAK/S/02717,Business Finance Operations,First Degree or HND,Female,Agency and others,2,1984,7.5,2011,0,0,52,EDO,Yes,Single,No,No,5,0
YAK/S/02718,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1982,12.5,2011,1,0,49,EKITI,Yes,Married,No,No,1,1
YAK/S/02719,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1964,5,1994,0,0,46,ANAMBRA,Yes,Single,No,No,1,0
YAK/S/02720,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1991,10,2014,1,0,57,BAYELSA,Yes,Married,No,No,0,1
YAK/S/02721,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,3,1989,7.5,2009,0,0,42,RIVERS,Yes,Not_Sure,No,No,0,0
YAK/S/02722,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,3,1989,2.5,2016,0,0,52,IMO,Yes,Married,No,No,1,0
YAK/S/02723,Sourcing and Purchasing,MSc  MBA and PhD,Male,Agency and others,2,1979,7.5,2006,0,0,59,KANO,Yes,Married,No,No,1,0
YAK/S/02725,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1985,10,2016,1,0,57,LAGOS,Yes,Married,No,No,0,1
YAK/S/02727,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1980,7.5,2008,1,0,43,BENUE,Yes,Married,No,No,1,0
YAK/S/02728,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1968,7.5,2014,0,0,56,LAGOS,Yes,Married,No,No,6,0
YAK/S/02729,Commercial Sales and Marketing,,Male,Direct Internal process,2,1996,12.5,2017,1,0,44,OYO,Yes,Married,No,No,1,0
YAK/S/02730,Commercial Sales and Marketing,First Degree or HND,Male,Referral and Special candidates,2,1989,5,2011,1,0,40,NASSARAWA,Yes,Married,No,No,0,0
YAK/S/02731,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1988,7.5,2012,1,0,48,FCT,Yes,Single,No,Yes,1,0
YAK/S/02732,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1988,10,2012,0,0,38,YOBE,Yes,Married,No,No,0,0
YAK/S/02733,Information Technology and Solution Support,First Degree or HND,Male,Direct Internal process,2,1983,7.5,2014,0,0,73,NIGER,Yes,Married,No,No,1,0
YAK/S/02735,Information and Strategy,MSc  MBA and PhD,Male,Direct Internal process,2,1982,12.5,2008,1,0,76,RIVERS,Yes,Married,No,No,6,0
YAK/S/02736,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1995,10,2014,0,0,51,ADAMAWA,Yes,Married,No,No,4,0
YAK/S/02737,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1978,12.5,2014,1,0,51,IMO,Yes,Married,No,No,1,0
YAK/S/02738,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1992,5,2013,0,0,53,KANO,No,Married,No,No,0,0
YAK/S/02740,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1968,7.5,2016,1,0,39,OSUN,Yes,Married,No,No,1,0
YAK/S/02741,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1968,2.5,2014,0,0,41,BAUCHI,Yes,Married,No,No,1,0
YAK/S/02742,Sourcing and Purchasing,MSc  MBA and PhD,Male,Agency and others,3,1984,7.5,2014,1,0,60,BAUCHI,Yes,Married,No,No,1,0
YAK/S/02743,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1985,7.5,2007,0,0,62,GOMBE,Yes,Married,No,No,0,1
YAK/S/02744,Sourcing and Purchasing,First Degree or HND,Female,Agency and others,2,1996,0,2018,0,0,63,OGUN,Yes,Married,No,No,1,0
YAK/S/02745,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1994,5,2017,0,0,45,EBONYI,Yes,Married,No,No,0,0
YAK/S/02747,Commercial Sales and Marketing,MSc  MBA and PhD,Female,Agency and others,2,1977,5,2014,0,0,34,LAGOS,Yes,Married,No,No,2,0
YAK/S/02748,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,2,1978,10,2007,1,0,43,EDO,Yes,Married,No,No,0,0
YAK/S/02749,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1995,0,2018,0,0,48,YOBE,Yes,Married,No,Yes,1,0
YAK/S/02750,Information and Strategy,MSc  MBA and PhD,Male,Direct Internal process,3,1990,12.5,2014,1,0,80,LAGOS,Yes,Married,No,No,0,0
YAK/S/02751,Information and Strategy,MSc  MBA and PhD,Male,Direct Internal process,2,1989,12.5,2016,0,0,78,IMO,Yes,Married,No,No,1,0
YAK/S/02753,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1992,7.5,2017,0,0,51,RIVERS,Yes,Single,No,No,0,0
YAK/S/02755,Information Technology and Solution Support,First Degree or HND,Female,Direct Internal process,2,1992,0,2018,0,0,73,YOBE,Yes,Married,No,No,1,0
YAK/S/02756,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,4,1995,0,2018,0,0,59,FCT,No,Married,No,No,1,0
YAK/S/02758,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1987,2.5,2016,0,0,39,ENUGU,Yes,Single,No,No,1,0
YAK/S/02759,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,4,1994,7.5,2014,1,0,43,NASSARAWA,Yes,Married,No,No,0,0
YAK/S/02762,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1982,7.5,2017,0,0,54,OSUN,Yes,Married,No,No,0,0
YAK/S/02764,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1977,7.5,2014,0,0,37,ABIA,Yes,Married,No,No,1,0
YAK/S/02765,Sourcing and Purchasing,First Degree or HND,Female,Direct Internal process,2,1990,7.5,2014,0,0,59,RIVERS,No,Married,No,No,2,0
YAK/S/02766,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1996,5,2016,0,0,56,KANO,Yes,Married,No,No,1,0
YAK/S/02767,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,2,1980,10,2008,0,0,59,ADAMAWA,Yes,Married,Yes,No,1,0
YAK/S/02768,Business Finance Operations,First Degree or HND,Female,Direct Internal process,2,1995,0,2018,0,0,50,LAGOS,Yes,Married,No,No,0,0
YAK/S/02769,Information and Strategy,First Degree or HND,Male,Direct Internal process,3,1996,7.5,2016,1,0,76,IMO,Yes,Married,No,No,3,0
YAK/S/02774,Information and Strategy,MSc  MBA and PhD,Male,Agency and others,2,1982,7.5,2013,1,0,76,EKITI,Yes,Married,No,No,1,0
YAK/S/02775,Information and Strategy,First Degree or HND,Male,Direct Internal process,4,1991,7.5,2015,0,0,77,IMO,Yes,Married,No,No,1,0
YAK/S/02777,Commercial Sales and Marketing,First Degree or HND,Male,Referral and Special candidates,2,1992,12.5,2014,0,0,42,KANO,Yes,Married,No,No,1,0
YAK/S/02778,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1994,10,2017,0,0,42,KOGI,Yes,Married,No,No,2,0
YAK/S/02779,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1981,12.5,2012,0,0,53,NIGER,Yes,Married,No,No,1,0
YAK/S/02783,Information Technology and Solution Support,MSc  MBA and PhD,Female,Direct Internal process,2,1985,10,2015,1,0,71,ENUGU,Yes,Married,No,No,1,0
YAK/S/02784,Research and Innovation,MSc  MBA and PhD,Male,Direct Internal process,2,1993,0,2018,1,0,77,IMO,Yes,Married,No,No,1,1
YAK/S/02785,Information Technology and Solution Support,MSc  MBA and PhD,Male,Direct Internal process,2,1977,7.5,2012,0,0,73,TARABA,Yes,Married,No,No,2,0
YAK/S/02786,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1989,12.5,2011,0,0,43,ENUGU,Yes,Married,No,Yes,2,0
YAK/S/02788,Information Technology and Solution Support,First Degree or HND,Female,Direct Internal process,2,1988,7.5,2016,0,0,77,KEBBI,Yes,Married,No,No,4,0
YAK/S/02789,Information Technology and Solution Support,First Degree or HND,Female,Agency and others,2,1993,0,2018,1,0,74,LAGOS,Yes,Married,No,No,1,0
YAK/S/02790,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,3,1993,0,2018,0,0,61,IMO,Yes,Married,No,No,2,0
YAK/S/02791,Information and Strategy,MSc  MBA and PhD,Male,Direct Internal process,2,1986,7.5,2010,0,0,75,SOKOTO,Yes,Married,No,No,1,0
YAK/S/02792,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1990,12.5,2014,0,0,75,LAGOS,Yes,Married,No,No,4,0
YAK/S/02793,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1990,2.5,2015,0,0,41,RIVERS,Yes,Married,No,No,2,0
YAK/S/02795,Customer Support and Field Operations,MSc  MBA and PhD,Female,Direct Internal process,2,1981,12.5,2014,0,0,51,ANAMBRA,Yes,Married,No,No,0,0
YAK/S/02797,Information Technology and Solution Support,First Degree or HND,Male,Direct Internal process,4,1991,7.5,2013,0,0,74,DELTA,Yes,Married,No,No,3,0
YAK/S/02799,Regulatory and Legal services,First Degree or HND,Male,Direct Internal process,2,1989,7.5,2015,0,0,49,NASSARAWA,Yes,Married,No,No,1,0
YAK/S/02800,Information and Strategy,,Male,Direct Internal process,2,1991,12.5,2015,1,0,74,KANO,Yes,Married,No,No,3,1
YAK/S/02801,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1974,7.5,1999,0,0,53,OGUN,Yes,Married,No,No,0,0
YAK/S/02802,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,3,1980,7.5,2005,0,0,38,LAGOS,Yes,Single,No,No,0,0
YAK/S/02803,Sourcing and Purchasing,MSc  MBA and PhD,Female,Agency and others,2,1986,12.5,2010,1,0,63,FCT,Yes,Single,No,No,0,0
YAK/S/02804,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1984,12.5,2010,1,0,52,ABIA,Yes,Married,No,No,1,0
YAK/S/02805,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1984,7.5,2017,0,0,47,DELTA,Yes,Single,No,No,1,0
YAK/S/02806,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1986,12.5,2015,0,0,51,ABIA,Yes,Married,No,No,1,0
YAK/S/02807,Information and Strategy,First Degree or HND,Male,Agency and others,2,1989,2.5,2013,1,0,80,ONDO,Yes,Single,No,No,1,0
YAK/S/02808,Business Finance Operations,First Degree or HND,Male,Agency and others,3,1990,10,2017,0,0,51,DELTA,Yes,Married,No,Yes,0,0
YAK/S/02809,Commercial Sales and Marketing,,Male,Agency and others,2,1994,5,2017,0,0,44,BORNO,Yes,Single,No,No,0,0
YAK/S/02810,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1987,12.5,2013,0,0,66,LAGOS,Yes,Single,No,No,4,1
YAK/S/02811,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1986,12.5,2015,0,0,52,IMO,Yes,Married,No,No,1,0
YAK/S/02813,Customer Support and Field Operations,MSc  MBA and PhD,Female,Direct Internal process,2,1977,10,2006,1,0,51,OSUN,Yes,Married,No,No,1,0
YAK/S/02814,Business Finance Operations,First Degree or HND,Female,Direct Internal process,2,1995,7.5,2017,0,0,56,CROSS RIVER,Yes,Married,No,No,0,0
YAK/S/02815,Information and Strategy,MSc  MBA and PhD,Male,Agency and others,2,1986,7.5,2012,0,0,76,OYO,Yes,Married,No,No,1,0
YAK/S/02817,Information and Strategy,First Degree or HND,Male,Agency and others,2,1983,2.5,2010,0,0,77,ABIA,Yes,Married,No,No,1,0
YAK/S/02818,Information Technology and Solution Support,MSc  MBA and PhD,Female,Agency and others,2,1972,7.5,2001,0,0,74,AKWA IBOM,Yes,Married,No,No,0,0
YAK/S/02819,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1977,10,2003,1,0,81,ENUGU,Yes,Married,No,No,1,1
YAK/S/02822,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1965,12.5,2014,1,0,43,EDO,No,Single,No,No,0,0
YAK/S/02823,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1980,5,2007,0,0,43,LAGOS,Yes,Married,No,No,1,0
YAK/S/02824,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,2,1969,7.5,1999,0,0,60,KANO,Yes,Single,No,No,1,0
YAK/S/02826,Commercial Sales and Marketing,,Male,Agency and others,2,1998,2.5,2017,0,0,41,OSUN,Yes,Married,No,No,1,0
YAK/S/02828,People/HR Management,MSc  MBA and PhD,Male,Direct Internal process,2,1979,12.5,2015,0,0,55,NASSARAWA,Yes,Married,No,No,1,1
YAK/S/02830,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1987,12.5,2013,0,0,53,OSUN,No,Married,No,No,1,0
YAK/S/02834,Sourcing and Purchasing,MSc  MBA and PhD,Male,Agency and others,2,1987,10,2014,0,0,63,FCT,No,Married,No,No,1,0
YAK/S/02835,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1987,7.5,2009,1,0,43,DELTA,Yes,Married,No,No,1,0
YAK/S/02836,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,2,1993,0,2018,0,0,45,RIVERS,Yes,Single,No,No,1,0
YAK/S/02838,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1985,5,2016,0,0,51,NIGER,Yes,Not_Sure,No,No,1,0
YAK/S/02839,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,3,1971,7.5,2004,0,0,48,ANAMBRA,Yes,Single,No,No,1,0
YAK/S/02841,Information and Strategy,First Degree or HND,Male,Agency and others,2,1988,12.5,2010,1,0,75,LAGOS,Yes,Single,No,No,1,0
YAK/S/02843,Business Finance Operations,First Degree or HND,Male,Agency and others,3,1992,0,2018,0,0,46,KOGI,Yes,Married,No,No,1,0
YAK/S/02846,Customer Support and Field Operations,Non University Education,Male,Agency and others,2,1995,7.5,2015,0,0,56,IMO,Yes,Married,No,No,1,0
YAK/S/02847,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1984,2.5,2006,0,0,41,KADUNA,Yes,Single,No,Yes,0,0
YAK/S/02849,Information and Strategy,First Degree or HND,Male,Agency and others,3,1993,5,2017,0,0,79,KOGI,Yes,Married,No,No,1,1
YAK/S/02850,Customer Support and Field Operations,MSc  MBA and PhD,Female,Direct Internal process,2,1983,7.5,2015,1,0,51,LAGOS,Yes,Married,No,No,1,0
YAK/S/02851,Business Finance Operations,First Degree or HND,Male,Agency and others,2,1985,2.5,2011,0,0,53,LAGOS,Yes,Married,No,No,1,0
YAK/S/02852,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1992,12.5,2015,0,0,53,RIVERS,Yes,Married,No,No,0,1
YAK/S/02853,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1990,12.5,2015,0,0,40,OSUN,Yes,Married,No,No,1,0
YAK/S/02854,Information Technology and Solution Support,MSc  MBA and PhD,Female,Agency and others,3,1990,10,2012,1,0,73,LAGOS,Yes,Married,No,No,0,0
YAK/S/02857,Commercial Sales and Marketing,MSc  MBA and PhD,Female,Direct Internal process,2,1965,5,2007,0,0,41,LAGOS,No,Married,No,No,4,0
YAK/S/02858,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1988,12.5,2012,1,0,36,FCT,Yes,Married,No,No,0,1
YAK/S/02859,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,2,1992,7.5,2015,1,0,65,EKITI,Yes,Married,No,Yes,0,0
YAK/S/02861,Commercial Sales and Marketing,,Male,Agency and others,2,1990,7.5,2014,0,0,37,FCT,Yes,Married,No,No,1,0
YAK/S/02862,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,4,1991,2.5,2016,1,0,59,BORNO,No,Married,No,No,1,0
YAK/S/02863,Information and Strategy,First Degree or HND,Male,Direct Internal process,3,1989,12.5,2014,1,0,77,RIVERS,No,Single,No,No,0,0
YAK/S/02865,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1995,0,2018,1,0,42,ENUGU,Yes,Married,No,Yes,1,0
YAK/S/02866,Information and Strategy,First Degree or HND,Female,Direct Internal process,3,1992,12.5,2015,1,0,76,ENUGU,Yes,Married,No,No,1,0
YAK/S/02868,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1983,2.5,2012,0,0,41,ONDO,Yes,Married,No,No,2,0
YAK/S/02869,Information and Strategy,First Degree or HND,Male,Agency and others,3,1992,12.5,2014,0,0,75,TARABA,Yes,Married,No,No,2,0
YAK/S/02872,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,2,1991,7.5,2014,0,0,38,LAGOS,Yes,Married,No,No,1,0
YAK/S/02875,Sourcing and Purchasing,First Degree or HND,Female,Agency and others,2,1984,7.5,2012,0,0,66,ANAMBRA,Yes,Single,No,No,0,0
YAK/S/02876,Business Finance Operations,First Degree or HND,Male,Agency and others,2,1980,10,2013,1,0,54,IMO,No,Married,No,No,1,1
YAK/S/02878,Information and Strategy,First Degree or HND,Male,Agency and others,2,1991,0,2018,1,0,76,YOBE,Yes,Married,No,No,0,0
YAK/S/02879,Information Technology and Solution Support,First Degree or HND,Female,Direct Internal process,2,1995,0,2018,1,0,76,IMO,Yes,Married,No,No,0,0
YAK/S/02881,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1984,2.5,2017,1,0,50,LAGOS,Yes,Single,No,Yes,1,0
YAK/S/02882,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,5,1991,7.5,2015,0,0,41,NIGER,Yes,Single,No,No,1,0
YAK/S/02883,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,4,1986,12.5,2012,1,0,49,ABIA,Yes,Married,No,No,1,0
YAK/S/02884,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,2,1995,12.5,2016,1,0,57,LAGOS,Yes,Single,No,Yes,1,0
YAK/S/02885,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1989,12.5,2012,0,0,38,NASSARAWA,Yes,Married,No,Yes,0,0
YAK/S/02887,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1981,10,2015,0,0,38,FCT,Yes,Single,No,No,0,0
YAK/S/02888,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1991,7.5,2015,0,0,44,OSUN,Yes,Married,No,No,0,0
YAK/S/02889,Business Finance Operations,First Degree or HND,Male,Agency and others,2,1994,12.5,2016,1,0,53,KADUNA,Yes,Married,No,No,1,0
YAK/S/02890,Information and Strategy,First Degree or HND,Male,Agency and others,3,1991,12.5,2017,1,0,75,KWARA,Yes,Married,No,Yes,1,0
YAK/S/02891,Information Technology and Solution Support,MSc  MBA and PhD,Male,Agency and others,2,1978,10,2002,0,0,71,BORNO,Yes,Married,No,No,1,0
YAK/S/02892,Business Finance Operations,First Degree or HND,Female,Agency and others,2,1987,7.5,2016,0,0,56,LAGOS,No,Married,No,No,5,0
YAK/S/02893,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,2,1981,7.5,2011,1,0,60,LAGOS,Yes,Single,No,No,1,0
YAK/S/02894,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1995,0,2018,0,0,50,KANO,No,Single,No,No,0,0
YAK/S/02895,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1993,0,2018,1,0,45,ABIA,Yes,Married,No,No,1,0
YAK/S/02896,Information and Strategy,First Degree or HND,Male,Direct Internal process,2,1988,7.5,2015,1,0,78,NIGER,Yes,Married,No,No,0,0
YAK/S/02897,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1991,2.5,2007,0,0,39,DELTA,No,Single,No,No,1,0
YAK/S/02899,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,2,1990,5,2014,0,0,41,KATSINA,Yes,Married,No,No,4,0
YAK/S/02901,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,2,1979,7.5,2003,0,0,64,FCT,Yes,Not_Sure,No,No,1,0
YAK/S/02902,People/HR Management,MSc  MBA and PhD,Male,Agency and others,2,1982,12.5,2013,1,1,39,ANAMBRA,Yes,Married,No,No,0,1
YAK/S/02903,Information Technology and Solution Support,First Degree or HND,Female,Direct Internal process,2,1975,7.5,2003,0,0,69,OYO,Yes,Married,No,Yes,5,0
YAK/S/02904,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1993,2.5,2015,0,0,51,LAGOS,Yes,Married,No,No,0,0
YAK/S/02906,Sourcing and Purchasing,MSc  MBA and PhD,Female,Direct Internal process,2,1983,7.5,2012,1,0,63,FCT,Yes,Married,No,No,1,0
YAK/S/02908,Sourcing and Purchasing,First Degree or HND,Female,Agency and others,2,1989,7.5,2017,0,0,61,BAYELSA,Yes,Married,No,No,1,0
YAK/S/02909,Business Finance Operations,First Degree or HND,Female,Agency and others,2,1992,7.5,2012,1,0,52,EKITI,Yes,Married,No,Yes,0,0
YAK/S/02910,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1981,12.5,2015,1,0,74,LAGOS,Yes,Married,No,No,0,0
YAK/S/02912,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,3,1990,2.5,2015,0,0,47,BAYELSA,Yes,Single,No,No,0,0
YAK/S/02913,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1986,7.5,2017,1,0,49,KATSINA,Yes,Married,No,No,1,0
YAK/S/02914,Commercial Sales and Marketing,First Degree or HND,Male,Referral and Special candidates,2,1985,7.5,2014,1,1,40,KADUNA,Yes,Married,No,No,0,0
YAK/S/02915,Information Technology and Solution Support,MSc  MBA and PhD,Female,Agency and others,2,1962,2.5,2001,0,0,74,FCT,No,Married,No,No,0,0
YAK/S/02916,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,2,1983,2.5,2013,0,0,41,KANO,Yes,Single,No,No,0,0
YAK/S/02917,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1990,7.5,2013,0,0,53,BAYELSA,Yes,Married,No,No,1,0
YAK/S/02918,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1990,12.5,2011,0,0,58,SOKOTO,Yes,Married,No,No,1,0
YAK/S/02920,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1982,12.5,2011,1,0,72,PLATEAU,Yes,Married,No,No,0,0
YAK/S/02921,Information and Strategy,First Degree or HND,Male,Agency and others,2,1991,2.5,2017,0,0,77,RIVERS,Yes,Married,No,No,4,0
YAK/S/02922,People/HR Management,First Degree or HND,Male,Agency and others,2,1992,7.5,2014,0,0,40,AKWA IBOM,Yes,Married,No,Yes,1,0
YAK/S/02923,Regulatory and Legal services,First Degree or HND,Male,Agency and others,2,1990,10,2015,0,0,52,IMO,Yes,Married,No,No,0,0
YAK/S/02925,Sourcing and Purchasing,MSc  MBA and PhD,Female,Agency and others,2,1989,7.5,2013,1,0,66,PLATEAU,Yes,Married,No,No,1,0
YAK/S/02926,Information and Strategy,First Degree or HND,Male,Direct Internal process,3,1996,7.5,2017,0,0,73,CROSS RIVER,Yes,Married,No,No,1,0
YAK/S/02927,Sourcing and Purchasing,MSc  MBA and PhD,Female,Agency and others,2,1966,7.5,2012,1,0,65,LAGOS,Yes,Married,No,No,4,0
YAK/S/02930,Information Technology and Solution Support,MSc  MBA and PhD,Male,Direct Internal process,2,1989,12.5,2012,0,0,70,KOGI,Yes,Married,No,No,3,0
YAK/S/02931,Information Technology and Solution Support,MSc  MBA and PhD,Female,Agency and others,2,1982,5,2014,0,0,73,ENUGU,Yes,Married,No,No,0,0
YAK/S/02933,Information Technology and Solution Support,MSc  MBA and PhD,Male,Agency and others,2,1987,7.5,2014,0,0,74,KATSINA,Yes,Married,No,No,1,0
YAK/S/02934,People/HR Management,First Degree or HND,Female,Referral and Special candidates,2,1991,7.5,2017,1,0,43,DELTA,Yes,Married,No,No,1,0
YAK/S/02935,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1992,7.5,2017,1,0,39,RIVERS,Yes,Single,No,No,0,0
YAK/S/02936,Information Technology and Solution Support,First Degree or HND,Male,Direct Internal process,2,1973,10,2011,0,0,71,FCT,Yes,Single,No,No,1,0
YAK/S/02937,People/HR Management,MSc  MBA and PhD,Male,Direct Internal process,2,1984,2.5,2008,0,0,39,LAGOS,Yes,Married,No,Yes,4,0
YAK/S/02939,Sourcing and Purchasing,MSc  MBA and PhD,Female,Agency and others,2,1972,7.5,2014,0,0,61,EKITI,Yes,Married,No,No,1,0
YAK/S/02940,Information and Strategy,First Degree or HND,Male,Agency and others,4,1991,7.5,2014,1,0,76,BENUE,Yes,Married,No,No,1,0
YAK/S/02941,Customer Support and Field Operations,MSc  MBA and PhD,Male,Direct Internal process,2,1978,7.5,2007,0,0,50,EDO,Yes,Married,No,No,0,0
